status,RT
1,1.411
1,0.99
0,1.532
1,0.943
1,0.897
1,1.268
0,1.898
1,1.425
1,1.041
1,0.818
1,0.974
1,1.23
1,1.139
1,1.158
1,1.416
1,1.343
0,1.764
1,1.047
1,1.056
1,1.13
1,1.197
0,1.224
0,1.411
1,1.234
1,0.925
1,1.023
0,1.279
1,0.973
1,0.855
0,1.346
1,0.946
1,0.91
1,1.026
1,0.986
1,1.213
1,0.853
1,1.064
1,0.953
0,1.237
1,0.847
1,1.002
1,1.164
1,1.515
1,1.633
1,1.31
0,1.073
0,1.303
1,1.19
1,1.068
1,1.121
1,0.979
0,1.324
1,1.346
1,0.934
1,1.026
0,1.235
1,0.941
1,1.153
1,0.828
1,1.268
1,0.911
1,1.085
1,1.289
1,1.022
1,0.89
1,0.86
1,1.128
1,0.95
0,1.11
1,0.854
1,0.814
1,0.943
1,1.36
1,1.052
1,1.024
1,1.116
0,1.358
0,1.566
0,1.316
0,1.97
1,0.849
1,1.23
1,1.246
1,1.325
1,0.844
1,0.904
1,1.095
1,0.855
1,0.856
1,0.856
1,1.279
1,0.998
0,1.24
1,1.133
1,0.899
1,0.972
1,0.87
1,0.859
1,1.055
1,1.159
1,1.244
1,1.084
1,1.07
1,0.944
1,1.369
1,1.387
0,1.238
1,0.906
1,0.86
0,1.309
0,1.571
1,0.866
1,0.804
1,0.959
1,0.841
1,1.229
1,1.127
1,0.948
1,0.924
1,0.838
1,0.869
1,1.522
1,0.993
0,1.433
1,1.072
1,1.296
1,1.141
1,1.268
1,1.066
1,1.188
1,0.849
1,0.859
1,1.404
0,1.384
1,1.174
1,0.853
1,1.047
1,0.972
1,1.044
1,0.814
1,0.867
1,0.884
1,1.236
1,1.262
1,1.257
1,0.916
1,0.86
1,1.038
0,1.255
1,1.161
0,1.227
1,1.34
1,0.835
1,0.886
1,1.345
0,1.321
1,1.008
1,1.346
1,1.123
1,1.245
1,0.972
0,1.275
1,0.878
1,1.268
1,0.954
1,1.299
1,1.056
1,1.22
1,1.215
1,1.284
1,1.179
1,0.803
0,1.1
1,1.138
0,1.446
1,0.942
0,1.429
1,1.136
1,1.135
1,0.931
1,1.021
0,2.012
1,1.45
1,1.072
0,1.094
1,0.996
1,0.971
0,1.374
1,0.881
1,1.099
1,1.299
1,0.976
1,0.904
1,1.186
1,0.847
1,1.438
1,0.974
1,1.045
1,0.945
1,1.019
0,1.474
1,1.155
1,0.984
1,1.11
1,1.133
1,0.824
0,1.31
1,1.294
1,0.962
1,0.898
1,1.104
1,1.094
1,1.168
1,1.02
0,1.232
1,1.389
1,1.233
1,1.127
1,1.109
1,1.385
1,1.244
