status,RT
1,0.959
0,1.308
1,0.975
1,1.118
1,1.122
0,1.154
1,0.848
1,1.003
1,1.17
0,1.507
1,1.048
1,0.83
0,1.194
1,1.24
1,1.266
1,1.1
1,0.875
1,1.729
0,1.486
0,1.216
0,1.344
1,1.09
1,0.847
1,1.544
1,0.987
1,1.005
0,1.425
0,1.216
1,1.228
1,0.967
0,1.647
1,1.068
1,1.255
1,1.086
1,0.909
1,1.361
0,1.21
1,1.524
1,1.205
1,0.851
1,1.152
1,1.051
1,0.934
1,1.18
1,1.406
1,1.129
1,0.883
1,0.862
1,0.91
1,1.267
1,0.935
1,0.967
0,1.622
1,0.845
1,1.593
1,1.178
1,0.855
1,0.821
1,1.461
1,1.805
1,1.28
1,0.878
1,1.105
1,1.872
0,1.107
1,0.927
0,1.343
1,1.188
1,0.932
1,0.879
1,1.254
1,0.816
0,1.221
1,0.835
1,1.414
0,1.643
1,0.961
1,0.854
1,1.288
1,1.004
1,1.393
0,1.548
0,1.868
1,1.157
1,0.832
1,1.203
1,0.98
1,1.035
1,0.875
1,1.076
1,1.163
1,1.13
0,1.449
1,0.898
1,1.164
1,1.2
1,1.356
1,1.072
0,1.178
0,1.503
1,1.07
1,0.838
1,0.891
1,0.848
0,1.25
1,1.35
0,1.315
1,0.884
1,0.838
1,0.86
1,1.397
1,1.003
1,1.119
1,1.01
1,1.224
1,1.161
1,0.99
1,0.936
1,1.071
1,0.849
1,1.077
1,0.987
1,0.829
1,1.01
1,0.839
1,1.413
1,1.217
1,0.958
1,1.161
0,1.859
1,1.001
1,1.255
0,1.358
1,1.379
1,0.824
1,0.871
1,0.852
1,0.919
1,0.846
1,1.022
1,1.241
1,1.233
0,1.25
1,0.842
1,1.389
1,0.996
1,0.823
1,1.03
1,1.193
1,0.998
1,0.856
1,1.045
1,1.132
0,1.504
1,1.255
1,0.881
1,1.178
1,1.491
1,1.103
1,0.979
1,1.243
1,0.864
1,1.24
1,0.799
1,1.177
1,0.899
1,1.006
1,1.36
1,0.942
0,1.473
1,0.835
1,0.962
1,1.141
1,0.836
1,1.12
1,1.203
0,1.231
1,1.661
1,1.083
1,1.252
1,0.873
0,1.361
1,1.035
1,0.949
1,1.312
1,0.975
1,1.349
1,0.832
1,1.119
1,1.164
1,1.263
1,1.193
1,1.135
1,1.053
1,0.78
1,0.965
1,0.928
1,1.417
1,1.177
1,0.923
1,1.047
1,1.2
0,1.382
0,1.194
0,1.093
1,0.862
1,1.037
1,0.928
1,0.791
0,1.581
1,0.816
1,0.804
0,1.732
0,1.459
1,0.808
1,1.198
1,0.946
1,1.163
0,1.08
1,1.016
1,0.953
1,0.833
0,1.247
1,1.516
0,1.268
1,0.889
1,0.922
1,0.851
1,0.929
1,0.986
1,0.991
1,1.115
1,0.9
1,1.176
0,1.078
1,0.855
1,0.937
1,0.908
1,0.885
1,1.424
0,1.34
1,1.087
1,1.091
1,0.997
0,1.186
0,1.727
1,1.159
1,1.086
1,1.109
1,0.841
0,1.509
1,1.156
0,1.22
1,1.031
1,0.873
1,0.937
1,1.107
1,1.135
1,1.169
0,1.214
1,1.566
1,1.224
1,1.517
0,1.335
1,0.944
1,0.999
1,1.026
1,0.891
1,0.928
1,1.091
1,0.983
0,1.494
1,0.971
1,0.892
0,1.412
1,1.254
1,1.142
1,0.968
1,1.099
0,1.204
0,1.339
1,1.206
1,1.17
0,1.281
1,0.86
1,0.987
1,1.256
1,0.984
1,0.807
1,0.967
1,1.169
1,0.904
1,0.805
1,0.88
0,1.261
1,0.994
0,1.119
1,1.779
0,1.405
1,1.529
0,1.475
0,1.318
1,1.564
1,1.21
1,1.194
1,1.049
1,1.098
0,1.456
1,0.966
1,1.356
1,1.109
1,1.133
1,1.025
1,0.88
0,1.239
0,1.555
1,1.019
1,1.268
0,1.74
1,0.798
1,0.841
1,1.154
1,0.828
1,0.834
1,0.898
1,1.064
1,1.068
1,1.004
1,1.455
0,1.269
1,1.014
1,0.981
0,1.357
1,0.927
1,1.068
0,1.474
1,1.036
1,1.223
1,1.394
1,0.805
1,1.197
1,1.378
0,1.191
1,0.873
0,1.231
1,0.85
0,1.628
1,1.01
1,0.982
1,0.921
1,1.122
1,0.987
1,1.875
1,0.9
0,1.151
1,1.056
0,1.726
1,1.066
1,1.259
1,0.975
1,0.969
0,1.523
1,0.843
1,0.952
0,2.152
1,0.931
1,1.076
1,1.095
1,0.854
1,0.869
1,1.182
1,0.825
1,0.934
1,1.278
1,1.008
1,1.34
1,1.233
1,1.262
0,1.424
1,1.188
1,1.345
1,1.022
0,1.291
0,1.258
1,1.534
0,1.074
1,1.107
1,0.961
1,1.254
1,1.031
1,1.082
1,0.856
1,1.329
1,0.96
0,1.511
1,1.2
0,1.263
1,1.099
1,0.834
1,0.925
1,1.084
1,0.88
1,0.793
0,1.407
1,1.041
1,1.107
1,0.962
1,0.831
1,1.06
1,0.856
1,0.97
1,1.179
1,0.839
1,0.864
0,1.76
0,1.014
1,1.308
1,0.866
1,1.149
0,1.495
1,1.398
1,1.134
1,1.096
1,1.252
0,1.222
1,1.111
0,1.259
1,1.245
1,1.107
0,1.951
1,1.129
1,0.943
1,1.163
1,1.09
1,1.221
1,1.111
1,0.835
1,0.821
1,0.884
1,1.014
1,1.308
0,1.408
1,0.856
0,1.398
0,1.442
1,0.963
0,1.305
1,1.334
1,1.187
1,0.854
1,0.825
0,1.147
1,1.355
0,1.152
1,0.851
1,1.161
1,1.154
1,1.562
1,1.182
1,0.888
1,1.222
1,1.334
1,1.261
1,0.953
1,1.22
0,1.23
1,1.13
1,1.387
1,0.904
1,0.815
0,1.027
1,0.84
1,1.036
1,1.158
1,0.849
1,1.158
1,1.326
1,0.837
1,0.833
1,1.118
0,1.178
1,1.014
1,1.484
0,1.571
1,1.107
1,1.107
1,1.411
1,1.074
1,0.996
1,0.91
1,1.231
1,1.064
1,1.109
1,0.826
0,1.202
1,1.184
1,0.928
1,1.377
1,1.444
1,1.012
1,0.899
1,0.904
1,1.009
1,0.88
0,1.511
1,1.326
1,1.235
0,1.146
1,1.026
1,0.81
0,1.249
1,0.981
1,1.171
0,1.205
1,0.924
1,1.305
0,1.107
1,1.616
0,1.868
1,1.326
1,1.097
1,1.198
1,0.91
1,1.2
0,1.488
1,1.101
1,1.118
